,T,Tau
323,0.12498259056014434,5.874915331501185e-06
324,0.125030249708879,5.947961888717603e-06
325,0.12508106087237195,6.146223891577692e-06
326,0.12513525248373417,6.3303912756539876e-06
327,0.1251929291935307,6.4266535858289694e-06
328,0.12525394669110884,6.7855326222738666e-06
329,0.12531779141925073,7.730188151936218e-06
330,0.12538506339044522,7.255914893668629e-06
331,0.12545629370807612,5.478807155906612e-06
332,0.12553034484016334,5.3132831871983985e-06
333,0.12560581814242017,6.370550189945381e-06
334,0.1256833645247762,7.099483727591126e-06
335,0.12576462676354072,6.613003495569227e-06
336,0.12584960054013108,6.578740724395024e-06
337,0.12593726512242295,6.709829824419238e-06
338,0.12602729284155129,6.718067697973994e-06
339,0.12611979089211192,6.638991375899858e-06
340,0.12621476325550735,6.544802385341909e-06
341,0.12631211664812966,6.489895616692693e-06
342,0.12641177113954463,6.491130771918189e-06
343,0.12651369407067217,6.530734998831803e-06
344,0.12661787627261256,6.580054855978527e-06
345,0.126724292631393,6.607649213863325e-06
346,0.1268328748645,6.620799048181214e-06
347,0.12694351888763222,6.6196470246457114e-06
348,0.12705611561442537,6.610802625618262e-06
349,0.12717056592665904,6.601681291271379e-06
350,0.12728678401073,6.595699134110102e-06
351,0.12740469606272023,6.604602865529299e-06
352,0.12752423288512774,6.612896308954788e-06
353,0.12764532961241157,6.618651422042183e-06
354,0.1277679115238296,6.621485269338479e-06
355,0.12789189412251023,6.622333567650903e-06
356,0.1280171894296823,6.622528346495437e-06
357,0.12814371009045797,6.623050001139016e-06
358,0.1282713708548114,6.624240142990601e-06
359,0.12840008814216536,6.62589514892157e-06
360,0.1285297787899936,6.627631843644093e-06
361,0.12866035840703904,6.623315626828732e-06
362,0.12879174069838076,6.6082814125984786e-06
363,0.12892384116193542,6.642478561494793e-06
364,0.12905656632937365,6.6518617387382685e-06
365,0.12918985742422287,6.640263132748845e-06
366,0.1293236181929659,6.634153947113505e-06
367,0.1294577425719723,6.6346806294225e-06
368,0.12959214116560352,6.634001435828064e-06
369,0.12972674314893207,6.618022475505345e-06
370,0.12986146303876964,6.613901576107596e-06
371,0.12999620666347747,6.618069901962794e-06
372,0.13013089115278065,6.624872411166867e-06
373,0.1302654400206047,6.629868719199135e-06
374,0.13039977288426735,6.631104526282225e-06
375,0.1305338036013791,6.628871185899693e-06
376,0.1306674431935657,6.624678845903059e-06
377,0.1308006035536923,6.620171278647008e-06
378,0.1309331996285467,6.616430426377055e-06
379,0.13106514963172577,6.6137810919784436e-06
380,0.1311963739868997,6.611966135576771e-06
381,0.13132679399069028,6.610472442945121e-06
382,0.1314563309024997,6.608821341020538e-06
383,0.1315849056974893,6.6067289598692205e-06
384,0.1317124393453865,6.60413099227812e-06
385,0.13183885331679887,6.601118963867995e-06
386,0.13196407005355035,6.597837359202102e-06
387,0.1320880141996931,6.592813245886089e-06
388,0.13221074782108527,6.262279488130276e-06
389,0.13233208990203554,6.2402741361085096e-06
390,0.13245137742569008,7.278430734258202e-06
391,0.13256914354654462,7.027351027189649e-06
392,0.132685983224665,6.536121162717118e-06
393,0.13280115343261065,6.580969141430558e-06
394,0.13291413275330413,6.616336798431612e-06
395,0.13302502742540875,6.674491251408735e-06
396,0.13313404044515845,6.581229947189619e-06
397,0.13324132985198556,6.0379931231480615e-06
398,0.1333436725990898,1.1431765568837206e-05
399,0.13345158240372776,-3.936000564022852e-06
400,0.13355371625990814,7.508963164863009e-06
401,0.13364836139315267,8.616645984404882e-06
402,0.1337428500110886,8.689993469359876e-06
403,0.1338385418619856,8.14893429990688e-06
404,0.13393266208818674,7.332470094513313e-06
405,0.1340235786945707,6.507669571718321e-06
406,0.134110778892508,5.90299854541812e-06
407,0.13419443771613304,5.648071296094854e-06
408,0.13427502137735103,5.732809829563997e-06
409,0.13435301075099457,6.024601268892727e-06
410,0.13442872407096357,6.3603537399836925e-06
411,0.13449959651864268,1.3006188621787112e-05
412,0.13457392533995305,-7.842111347437059e-07
413,0.13464590074618196,-6.914377510916186e-07
414,0.1347089898245001,1.1054502998170113e-05
415,0.13476624133388002,1.3051063934106762e-05
416,0.13482619471974586,7.4658573883887584e-06
417,0.13488733494137647,4.64178213064741e-06
418,0.13494336900367052,4.926279797357355e-06
419,0.1349929053977168,6.039347027919707e-06
420,0.13503827898536033,6.572817875422116e-06
421,0.13508140557588993,6.564644325654443e-06
422,0.13512251761622684,6.442474331965345e-06
423,0.1351610134877138,6.394619277043945e-06
424,0.13519638292116926,6.402058477238138e-06
425,0.13522844847599605,6.412551833682332e-06
426,0.1352572194507515,6.410207560977603e-06
427,0.13528273748735095,6.401837141111384e-06
428,0.13530502331339408,6.394224483522828e-06
429,0.13532408333120666,6.368891170662253e-06
430,0.13533990607592325,6.403545504884793e-06
431,0.13535248422039078,6.387719711000918e-06
432,0.13536183071122285,6.3690283613786544e-06
433,0.13536792979353587,6.360862885244946e-06
434,0.13537076445792776,6.357854408696253e-06
435,0.1353703345570577,6.3543183446408574e-06
436,0.13536664607861512,6.349089083914246e-06
437,0.13535970344004467,6.343145073617402e-06
438,0.13534950973821178,6.337224193338655e-06
439,0.1353360693254302,6.331446913118096e-06
440,0.13531938906713017,6.3257190241748266e-06
441,0.13529947826498104,6.319986265929479e-06
442,0.1352763482560807,6.314252152735114e-06
443,0.13525001218717447,6.308531998976699e-06
444,0.13522048496379444,6.3028324899997145e-06
445,0.13518778325942743,6.2971543169134525e-06
446,0.13515192552620334,6.29149788202271e-06
447,0.1351129319982919,6.285864902379986e-06
448,0.135070824691374,6.280257810264003e-06
449,0.13502562739921797,6.274679000945592e-06
450,0.13497736568729188,6.269130755484589e-06
451,0.13492606688373154,6.263615254399325e-06
452,0.13487176006860876,6.2581347115247315e-06
453,0.13481447699362126,6.249125412170138e-06
454,0.1347542499558415,6.245273884266312e-06
455,0.13469110837239673,6.254123424756673e-06
456,0.13462509325503516,6.237003221603812e-06
457,0.13455624718794332,6.228247160652427e-06
458,0.13448460176658564,6.223606357825784e-06
459,0.1344101957042078,6.220050904086046e-06
460,0.13433307482019177,6.215726696179767e-06
461,0.13425328568654069,6.210791901940069e-06
462,0.1341708743559971,6.20573070498629e-06
463,0.1340858875158473,6.200749199070778e-06
464,0.13399837356038038,6.19586164863038e-06
465,0.13390838283687684,6.191045151563907e-06
466,0.1338159674747818,6.186294014432868e-06
467,0.1337211811901882,6.18161329766376e-06
468,0.1336240791793299,6.17700786211539e-06
469,0.13352471807534474,6.1724803075096746e-06
470,0.1334231559282268,6.168032639965267e-06
471,0.1333194521887046,6.163667300830222e-06
472,0.13321366769015308,6.159387232837436e-06
473,0.13310586462703175,6.155195471205741e-06
474,0.1329961184947653,5.992500496128916e-06
475,0.13288382687697395,9.26139054902522e-06
476,0.1327707572714285,2.0830903425887162e-07
477,0.13265583909010206,1.4037936131797552e-05
478,0.1325393132049565,-5.306922983755437e-06
479,0.13242336404044774,1.0948338614449367e-05
480,0.13230241712732893,9.638144717791107e-06
481,0.13218263489894108,6.069319585867755e-06
482,0.13206169827167552,4.68147127359463e-06
483,0.1319319164678643,4.932534524536374e-06
484,0.13178788617401224,3.91647911796939e-06
485,0.13162610082534523,1.081603665423983e-05
486,0.131451985235518,7.3081537416182675e-06
487,0.1312924666025346,1.3386414637760951e-06
488,0.13120126892718934,5.551659743318836e-06
489,0.13127224160533785,1.0831404712639109e-05
490,0.1316204406346141,3.111359743986822e-05
491,0.13230646541220892,-1.7110267356605547e-05
